Наименование,Белки,Жиры,Углеводы,Ккал
Маклюра (Адамово яблоко),0.0,0.0,0.0,
Маммея,0.5,0.5,9.5,51
Манго,0.5,0.3,11.5,67
Мангостан (мангостин),0.6,0.3,14.0,62
Мандарин,0.8,0.2,7.5,33
Мандарин консервированный,0.6,0.3,8.9,37
Маракуйя,2.4,0.4,13.4,68
Сыр Fallini Rapesan тёртый,49.5,29.2,4.4,478
Сыр Grill Akadia,17.0,19.0,3.0,245
Сыр Hochland Bleu,15.0,39.0,1.0,415
Сыр Hochland плавленый ассорти,10.0,27.0,5.0,303
Сыр Hochland плавленый Маасдам ломтики,12.0,22.0,7.0,270
Сыр Hochland плавленый с ветчиной ломтики,14.3,23.2,4.2,282
Сыр Hochland плавленый с огурцами и укропом ломтики,15.0,21.0,5.0,269
Сыр Hochland плавленый с салями и специями ломтики,13.0,24.0,4.0,284
Сыр Hochland плавленый Сэндвич ломтики,14.0,23.0,4.0,279
Сыр Hochland плавленый Чизбургер ломтики,14.0,23.0,4.0,279
Сыр Hochland творожный с зеленью,6.0,20.0,2.0,212
Сыр Hochland творожный сливочный,6.5,22.7,3.6,245
Бумбу,1.0,0.8,11.3,61
Валериана,0.0,0.0,0.0,
Ванилин,0.1,0.1,12.7,288
Ваниль,1.2,0.1,12.5,287
Ванильная эссенция,0.1,0.1,12.6,288
Ванильный порошок,1.2,0.1,12.5,287
Винный камень,0.0,0.0,0.0,
Воздушный рис,6.3,0.5,89.8,402
Галангал (корень),1.8,0.7,15.7,80
Галангал сушеный,9.1,5.9,58.3,347
Гарам масала,15.0,15.0,45.0,379
Гвоздика,6.0,20.1,27.0,323
Глюкоза,0.1,0.0,98.2,388
Баренцев Анчоус солёно-сушёный,49.0,7.0,0.0,259
Маранг,2.5,0.7,27.3,125
Марула,0.6,0.5,9.6,48
Мора,1.5,0.5,5.9,34
Мушмула германская,0.0,0.0,12.0,53
Мушмула японская,0.4,0.2,10.4,47
Нектарин,0.9,0.2,11.8,48
Нойна (Сахарное яблоко),0.4,0.4,9.8,47
Нони,0.1,0.3,10.0,44
Папайя,0.6,0.1,9.2,48
Пассифлора голубая (Кавалерская звезда),2.4,0.4,13.4,68
Пепино,0.0,0.0,20.0,80
Персик,0.9,0.1,11.3,46
Персики консервированные,0.3,0.1,14.7,68
Сыр Hochland Фетакса Классическая в рассоле 45%,11.0,14.5,2.0,183
Сыр Laime Пармезан,35.0,24.0,0.0,342
Сыр Mlekovita Twarog Hanusi кисломолочный 6.5%,9.0,6.5,4.0,111
Сыр Molli творожный 27%,6.0,27.0,3.0,306
Сыр Mr.Chedd Чеддер Red 45%,24.8,25.5,0.0,329
Сыр Old Amsterdam,6.2,39.0,0.0,407
Сыр Pinar Labne мягкий,4.5,18.0,3.6,194
Сыр Premier of Taste мягкий с зеленью и огурчиком,4.4,16.9,2.8,182
Сыр President Camembert de Chevre козий,16.5,28.0,0.0,318
Глютен (клейковина пшеничная),76.0,0.4,9.0,350
Горчица,5.7,6.4,22.0,162
Горчица 365 дней Русская,7.4,2.0,10.8,91
Горчица белая (английская),37.1,11.1,5.9,271
Горчица дижонская,9.9,12.7,5.3,143
Горчица Махеевъ столовая Русская,9.6,10.9,11.0,181
Горчица русская (сарептская),8.7,11.0,11.6,185
Горчица чёрная (французская),37.1,11.1,5.9,271
Горчичный порошок,37.1,11.1,32.6,378
Гремолата,3.7,0.4,7.6,49
Дрожжевой экстракт,27.8,0.0,8.8,158
Дрожжи,12.7,2.7,0.0,75
Баренцев Кальмар кольца,53.0,2.0,3.0,242
Баренцев Кальмар копчёный,53.0,2.0,3.0,242
Баренцев Кальмар солёно-сушёный,62.0,2.0,5.0,286
Баренцев Креветка со специями,36.0,4.0,3.0,192
Баренцев Окинэль ломтики филе,50.7,8.6,0.0,280
Баренцев Окинэль с перцем,50.7,8.6,0.0,280
Баренцев Соломка рыбная оригинальная,46.0,3.0,5.0,231
Баренцев Соломка рыбная подкопченная,46.0,3.0,5.0,231
Баренцев Сомуль солёно-сушёный,65.8,1.2,0.0,274
Баренцев Ставридка золотистая подкопченная,48.0,8.0,0.0,264
Питайя,0.5,0.3,12.0,50
Плуот,1.2,0.1,11.0,57
Помело,0.6,0.2,6.7,32
Рамбутан,0.6,0.2,19.0,82
Салакка,0.0,0.0,12.0,50
Саподилла,0.4,1.1,14.7,83
Сапота (Чёрное яблоко),2.1,0.6,31.2,134
Свити,0.7,0.2,9.0,58
Сизигиум,0.6,0.3,5.6,25
Слива,0.8,0.3,9.6,42
Сыр President Cream Cheese сливочный творожный,5.5,24.0,2.7,249
Сыр President Creme de Bleu 50%,12.0,22.0,3.5,260
Сыр President Rondele козий,9.0,10.5,4.0,354
Сыр President Rondele творожный,7.0,31.0,2.5,317
Сыр President Rondele творожный с орехами,6.5,31.0,2.5,315
Сыр President Rondele творожный с чесноком и травами,6.8,31.2,4.2,325
Сыр President Мастер Бутерброда Лёгкий,16.5,8.5,9.5,185
Сыр President Мастер Бутерброда Мааздам,13.5,17.5,6.0,240
Сыр President Мастер Бутерброда Моцарелла,9.0,20.0,6.5,281
Сыр President Пише Миньон,18.0,28.0,1.0,324
Дрожжи пивные,12.7,2.7,0.0,75
Дрожжи пищевые KAL Yeast Flakes,9.0,1.0,14.0,80
Дрожжи прессованные,12.7,2.7,8.5,109
Дрожжи сухие быстродействующие Саф-момент,49.0,6.0,40.0,410
Дрожжи хлебопекарные сухие дезактивированные Baker’s Bonus RS-190 Star,54.0,6.0,40.0,430
Душица (орегано),1.5,0.0,5.0,25
Дягиль,4.2,2.4,3.1,10
Жасмин,0.1,0.0,0.0,1
Желатин Dr.Oetker пищевой,84.0,0.0,0.0,336
Желатин листовой,85.0,0.5,0.0,336
Желатин пищевой,87.2,0.4,0.7,355
Желе Dr.Oetker со вкусом Апельсина,13.1,0.0,80.4,374
Баренцев Ставридка серебристая солёно-сушёная,48.0,8.0,0.0,264
Баренцев Тунец солёно-сушёный,57.8,0.3,0.0,234
Баренцев Чиксы рыбка с перцем,50.7,8.6,0.0,280
Попкорн карамельный,5.3,8.7,76.1,401
Попкорн солёный,7.3,13.5,62.7,407
Попкорн сырный,5.8,30.8,50.1,506
Сильвер Анчоус солёно-сушеный,57.4,3.1,0.1,258
Сильвер Жёлтая рыбка,40.0,16.9,1.0,336
Сильвер Жёлтый полосатик,52.4,5.8,3.3,262
Сильвер Кальмар копчёный,58.0,1.0,3.0,263
Сильвер Кальмар сушёный,58.0,1.0,3.0,263
Сыр Unagrande Dolce Рикотта с натуральным шоколадом,4.9,12.9,23.1,228
Сыр Unagrande Кремчиз №1,8.5,24.5,0.0,255
Сыр Valio Polar 5%,34.0,5.0,0.0,180
Сыр Valio творожный Рассыпчатый 2%,13.0,2.0,2.0,80
Сыр Valio творожный Сливочный,5.2,23.5,2.3,240
Сыр Vego Вегано-Грана-Падано с перцем,1.2,35.0,25.0,325
Сыр Viola ассорти Финское избранное 50%,10.0,20.0,6.0,244
Сыр Viola с ветчиной,11.0,28.0,2.0,305
Сыр Viola с лисичками,11.0,28.0,2.0,305
Сыр Viola с паприкой,11.0,28.0,2.0,305
Сыр Viola с укропом и огурцом,11.0,28.0,2.0,305
Сыр Viola сливочный,11.0,28.0,2.0,305
Желе Dr.Oetker со вкусом Вишни,13.1,0.0,80.3,374
Желе Dr.Oetker со вкусом Клубники,14.0,0.0,80.0,388
Желе Dr.Oetker со вкусом Лесных ягод,13.1,0.0,80.3,374
Желе Dr.Oetker со вкусом Лимона,13.1,0.0,80.7,375
Желе Dr.Oetker со вкусом Малины,13.1,0.0,80.4,374
Желфикс Dr.Oetker,0.5,0.0,0.5,313
Женьшень,0.0,0.0,10.0,41
Жидкий дым,0.1,0.1,0.1,
Закваска сухая,11.0,2.0,67.0,330
Закваска хлебная ржаная,3.9,0.7,26.7,132
Зантоксилум,10.4,2.1,42.4,296
Сильвер Камбала,57.9,2.0,3.0,275
Сильвер Кольца кальмара,45.0,1.0,13.0,241
Сильвер Кольца кальмара копчёные,45.0,1.0,13.0,241
Сильвер Креветка гриль,42.0,0.5,2.0,150
Сильвер Морской язык,40.0,16.9,3.0,336
Сильвер Осьминог сушёный,31.0,0.5,2.0,95
Сильвер Ставридка,52.4,5.8,3.3,262
Сильвер Тунец серебристый,46.3,8.8,0.0,200
Сильвер Угорь,57.9,2.0,3.0,275
Сильвер Янтайная рыбка,40.0,16.9,1.0,336
Сыр Vitalat Рикотта,7.0,6.0,0.0,97
Сыр VolkoMolko веганский Плавящийся,13.0,35.0,16.0,429
Сыр а ла Каймак Mlekara Sabac мягкий 70%,6.1,23.5,1.1,242
Сыр а ла Каймак мягкий 70%,6.1,23.5,1.1,242
Сыр Абонданс,26.3,26.6,0.0,350
Сыр Адыгейский,18.5,14.0,0.0,240
Сыр Алтайский,26.0,26.5,3.5,356
Сыр Альпийский,25.0,27.0,0.0,353
Сыр Амадеус,28.6,29.3,0.1,275
Сыр Амбер,31.0,10.0,10.0,220
Сыр Анари,11.0,15.0,2.0,195
Заправка Sen Soy Premium Ореховая для салатов,4.0,30.0,12.0,330
Заправка Махеевъ для солянки,0.5,0.8,3.4,23
Заправка Салат Бар Гурмикс салатная кунжутная,1.5,10.0,20.0,180
Заправка Салат Бар Гурмикс салатная манговая,0.4,0.0,16.0,65
Заправка Сэн Сой для фунчозы по-корейски,1.3,55.0,10.1,541
Заправка Чим-Чим корейская для моркови,2.0,75.0,10.0,720
Заправка Я люблю готовить салатная Итальянский букет и вяленые томаты,0.4,92.0,1.7,836
Заправка Я люблю готовить салатная Пряный базилик и пармезан,0.3,96.0,1.1,870
Заправка Я люблю готовить салатная Французские пряности и чеснок,0.3,95.0,0.8,860
Зелень сушёная,3.0,0.0,24.5,210
Зира,12.0,5.0,32.0,112
Снеки Cheetos кукурузные Хот Дог,5.5,16.0,6.9,490
Соломка картофельная Бульба Sticks Кетчуп,5.8,30.0,52.0,510
Соломка картофельная Бульба Sticks Сметана и лук,6.3,30.0,51.0,510
Соломка рыбная,46.0,3.0,5.0,231
Соломка сладкая,9.1,6.1,69.3,372
Соломка солёная,9.4,4.5,67.0,347
Сухарики Хрусteam Багет сырное ассорти,10.5,15.7,66.0,445
Сухарики Хрусteam копчёная колбаска,9.1,14.4,64.0,423
Сухарики Хрусteam лесные грибы,9.0,14.3,66.0,428
Сухарики Хрусteam салями,8.5,12.0,69.0,425
Сыр Аппенцеллер,24.7,31.7,2.0,403
Сыр Арла Chef Bake'n'Roll крем сливочный 25%,6.3,25.0,5.4,272
Зубровка душистая,0.0,0.0,0.0,
Имбирь,1.8,0.8,15.8,80
Имбирь китайский (крачай),1.8,0.7,15.7,80
Имбирь маринованный,0.2,0.3,12.5,51
Имбирь сухой,9.1,6.0,70.8,347
Иссоп,3.9,0.6,0.2,21
Сухарики Хрусteam сметана,9.5,15.0,63.0,426
Сухарики Хрусteam сыр,9.1,14.5,65.0,427
Сухарики Хрусteam телятина на гриле,8.8,14.0,65.0,420
Сухарики Хрусteam томат,9.0,14.3,65.0,426
Сырцееды сыр копчёный классический,46.4,24.0,0.0,413
Сырцееды сыр копчёный со вкусом томата,46.4,24.0,0.0,413
Сырцееды сыр копчёный со вкусом чеснока и укропа,46.4,24.0,0.0,413
Чипсы Don Nachos кукурузные оригинальные,7.0,25.0,61.0,497
Чипсы Estrella деревенская сметана и лук,5.2,30.9,53.9,514
Чипсы Estrella душистый укроп,5.2,31.2,53.7,517
Чипсы Estrella нежный сыр,4.9,31.5,53.8,519
Чипсы Estrella сметана и нежный сыр,4.9,31.4,53.7,518
Чипсы Lays Max сметана и лук,6.0,30.0,53.0,510
Чипсы Lays Max сметана и сыр,6.5,30.0,53.0,510
Чипсы Lays бекон,6.5,30.0,53.0,510
Чипсы Lays белые грибы со сметаной,6.0,32.0,51.0,515
Чипсы Lays зелёный лук,6.5,30.0,53.0,510
Чипсы Lays краб,6.5,30.0,53.0,510
Чипсы Lays красная икра,7.0,30.0,53.0,510
Акула катран,19.9,7.0,0.0,142
Чипсы Lays малосольные огурчики с укропом,6.5,31.0,53.0,520
Чипсы Lays с солью,6.0,31.0,52.0,520
Чипсы Lays сметана и зелень,6.0,30.0,53.0,510
Чипсы Lays сыр,6.5,30.0,53.0,510
Чипсы Lays шашлык,6.0,32.0,51.0,515
Чипсы Pringles барбекю,4.9,35.0,48.0,550
Чипсы Pringles копчёный бекон,5.1,34.0,49.0,551
Чипсы Pringles оригинальные,4.1,36.0,49.0,540
Чипсы Pringles паприка,3.2,34.0,49.0,529
Чипсы Pringles сметана и лук,3.9,34.0,50.0,527
Акульи плавники,21.0,4.8,0.0,130
Амур белый,18.6,5.3,0.0,134
Амур чёрный,17.5,2.0,0.0,88
Анчоус атлантический,20.1,6.1,0.0,135
Анчоусная паста,26.0,16.0,4.0,280
Анчоусы консервированные,20.1,6.1,0.0,135
Аргентина,17.6,2.0,0.0,88
Барабулька (султанка),19.4,3.8,0.0,117
Чипсы Pringles сыр и лук,4.1,34.0,50.0,550
Чипсы Pringles сырный сыр,5.0,35.0,48.0,534
Чипсы Rice Up! цельнозерновые из бурого риса Песто,7.3,16.0,70.0,459
Чипсы Rice Up! цельнозерновые из бурого риса Сметана с луком,7.5,19.0,65.0,468
Чипсы Rice Up! цельнозерновые из бурого риса Сыр,7.6,14.0,72.0,451
Чипсы Rice Up! цельнозерновые из бурого риса Хамон Иберико,7.2,13.0,73.0,444
Чипсы банановые,2.3,33.6,50.7,519
Чипсы картофельные,5.5,30.0,53.0,520
Чипсы кокосовые,5.9,35.5,55.8,566
Белоглазка,17.5,2.0,0.0,88
Белорыбица,17.5,2.0,0.0,88
Белуга бланшированная,23.3,15.6,0.0,234
Белуга свежая,21.0,0.7,0.0,147
Белуга сушеная,69.9,5.3,0.0,327
Бельдюга,17.5,2.0,0.0,88
Берикс,20.3,0.8,0.0,88
Бестер,21.0,0.7,0.0,147
Бопс (Полосатик),15.3,1.5,0.0,79
Бротола,19.4,1.6,0.0,92
Бычки в томатном соусе,17.5,2.0,0.0,88
Бычок,17.5,2.0,0.0,88
Венерка,14.7,1.0,3.6,86
Визига,1.2,0.1,6.0,28
Вобла вяленая,46.4,5.5,0.0,235
Вобла копчёная,31.1,6.3,0.0,181
Вобла свежая,18.0,2.8,0.0,97
Водоросли бурые,1.7,0.6,8.3,43
Водоросли зелёные,1.5,0.0,5.0,25
Водоросли красные,1.5,0.0,5.0,25
Водоросль вакаме,3.0,0.6,8.6,45
Водоросль далс,1.5,0.0,5.0,25
Водоросль ирландский мох (карраген),1.5,0.2,11.0,49
Водоросль кантен,0.5,0.0,6.3,26
Водоросль комбу,8.3,8.3,10.0,77
Водоросль лиму,1.7,0.2,4.3,25
Водоросль нори,46.1,0.1,41.0,349
Водоросль порфира,5.8,0.3,4.8,35
Водоросль спирулина,4.2,2.5,9.9,79
Водоросль ульва,1.9,0.0,3.8,25
Водоросль уми будо,1.5,0.4,4.8,25
Водоросль фукус,3.0,0.6,8.6,35
Гладкоголов,8.0,1.9,0.0,49
Голавль,17.8,5.6,0.0,127
Голец,22.4,5.7,0.0,135
Горбуша горячего копчения,23.2,7.6,0.0,161
Горбуша жареная в кляре,17.1,16.4,15.2,281
Горбуша запеченная в шубе,13.2,13.1,3.2,184
Горбуша маринованная,20.9,5.8,0.0,136
Горбуша натуральная Балт-Фиш Плюс,15.0,1.5,0.0,75
Горбуша натуральная Русский рыбный мир,21.0,6.0,0.0,138
Горбуша отварная,22.9,7.8,0.0,168
Горбуша Рыбная Миля кусочки холодного копчения косичка,24.0,9.0,0.0,177
Горбуша свежая,20.5,6.5,0.0,142
Горбуша солёная,22.1,9.0,0.0,169
Горбыль,22.5,6.3,0.0,153
Групер (мероу),24.8,1.3,0.0,118
Густера,15.1,2.4,0.0,97
Дорадо,18.0,3.0,0.0,96
Ёрш,17.5,2.0,0.0,88
Желтохвост (лакедра),21.0,16.0,0.0,240
Желтый полосатик,17.5,2.0,0.0,88
Желтый полосатик сушеный,50.0,7.5,0.0,267
Жерех,18.8,2.6,0.0,98
Зубан,18.8,6.3,0.0,131
Зубатка жареная,22.2,11.5,4.1,209
Зубатка запеченная,7.4,8.8,6.8,137
Зубатка отварная,15.5,5.8,0.0,114
Зубатка пёстрая,19.6,5.3,0.0,126
Зубатка полосатая,16.0,5.0,0.0,109
Икра,36.0,10.2,0.0,123
Икра Балтийский берег красная имитированная слабосоленая лососевая,2.0,9.0,1.0,85
Икра Балтийский берег черная имитированная слабосоленая,0.0,1.0,1.0,13
Икра белужья зернистая,27.2,14.2,0.0,237
Икра виноградных улиток,16.1,1.4,2.0,90
Икра горбуши зернистая,31.2,11.7,0.0,230
Икра жёлтая (частиковая),17.5,2.0,0.0,88
Икра из морских водорослей Здоровье (красная),0.4,2.0,2.5,30
Икра из морских водорослей Здоровье (черная),0.4,2.5,4.0,40
Икра искусственная,1.0,5.0,2.6,64
Икра кеты зернистая,31.6,13.8,0.0,251
Абрикосовая косточка,14.0,27.7,56.3,440
Арахис,26.3,45.2,9.9,622
Арахис Джаз жареный соленый,25.0,52.0,17.0,640
Арахис Степановна обжаренный соленый,29.2,50.2,5.7,590
Арахис сушеный,29.2,50.2,10.8,611
Бананы сушёные,3.9,1.8,80.5,390
Барбарис сушеный,0.0,0.0,38.0,152
Боярышник сушеный,0.0,0.0,38.0,142
Бразильский орех,14.3,66.4,4.8,656
Буковый орех,6.2,50.0,33.5,576
Вишня вяленая,1.5,0.0,73.0,290
Вишня сушеная,1.5,0.0,73.0,290
Грецкий орех,15.2,65.2,7.0,654
Груши сушёные,2.3,0.6,62.6,249
Дыня сушеная,0.7,0.1,82.2,341
Желудь,24.0,20.7,15.7,387
Изюм,2.9,0.6,66.0,264
Изюм кишмиш,2.3,0.0,71.2,279
Изюм узбекский золотистый,1.8,0.0,70.9,291
Изюм узбекский чёрный,1.8,0.0,70.9,291
Инжир сушеный,3.1,0.8,57.9,257
Какао-бобы,12.8,53.1,9.5,565
Каштан жареный,3.2,2.2,33.8,182
Каштан консервированный,3.4,2.2,50.0,213
Каштан свежий,3.4,3.0,30.6,166
Кедровые орехи,15.6,56.0,28.4,680
Кедровый жмых,31.0,19.0,33.0,432
Кешью жареный,17.5,42.2,30.5,572
Кешью необжаренный,17.5,42.5,30.5,572
Клюква сушеная,0.1,1.4,76.5,308
Кокосовый орех,3.4,33.5,6.2,354
Коктейль орехи и сухофрукты,11.2,27.9,46.6,483
Кумкват сушёный,3.8,0.0,80.1,284
Кунжут,19.4,48.7,12.2,565
Кунжут чёрный,19.4,48.4,12.2,565
Курага,5.2,0.3,51.0,215
Мак,17.5,47.5,2.0,505
Мак пищевой Националь,18.0,48.0,15.0,560
Малина сублимированная,5.1,0.2,63.2,275
Манго сушёный,1.5,0.8,81.6,314
Миндаль обезжиренный (миндальный жмых),37.9,18.8,37.7,418
Миндаль сладкий,18.6,57.7,16.2,645
Миндальные лепестки,22.0,58.0,12.0,650
Орех кола,7.9,0.1,5.2,150
Орех кукуи,7.9,75.8,5.2,620
Орех лещина,13.1,62.6,9.3,653
Орех макадамия,7.9,75.8,5.2,718
Орех пекан,9.2,72.0,4.3,691
Орех пили,10.8,79.6,4.0,719
Орех сейшельский Коко-де-мер,3.3,33.5,6.2,354
Орех чилим,11.9,3.4,55.4,200
Орехи,15.0,40.0,20.0,500
Персик сушёный,3.0,0.4,57.7,254
Плоды дерева ши (карите),0.0,0.0,0.0,
Рапс,30.8,43.6,7.2,544
Семена горчицы,25.8,30.8,23.4,474
Семена конопли,20.0,32.5,14.0,429
Семена льна,18.3,42.2,28.9,534
Семена льна Ваше здоровье,18.3,42.2,1.6,459
Семена пажитника,23.0,6.4,58.3,323
Семена укропа,16.0,14.5,55.1,305
Семена фенхеля,15.8,14.8,52.3,345
Семена чиа,16.5,30.7,42.1,512
Семечки дынные,17.6,47.3,14.6,555
Семечки подсолнечника,20.7,52.9,3.4,578
Семечки тыквенные,24.5,45.8,4.7,556
Смесь из семян для салата ВкусВилл,23.0,49.0,10.0,573
Смесь ореховая Молодёжная Белый Пеликан,10.0,23.3,52.5,460
Смесь сухофрукты и орехи Красная цена,13.5,6.1,29.4,590
Урюк,5.0,0.4,50.6,213
Финики,2.5,0.5,69.2,274
Финики с косточкой Ritmix,3.5,0.2,68.0,290
Фисташки,20.0,50.0,7.0,556
Фундук,16.1,66.9,9.9,704
Хурма вяленая,1.7,0.0,58.9,242
Цукаты (смесь кубиков ананаса и папайи),2.0,1.0,71.0,301
Цукаты ананас и папайя Каждый день,5.0,1.0,82.0,360
Цукаты из ананаса,1.7,2.2,17.9,91
Цукаты из апельсина,2.0,1.0,71.0,301
Цукаты из арбузных корок,2.5,0.0,51.0,209
Ангурия (Антильский огурец),1.8,1.3,7.6,44
Арракача,0.9,0.1,17.1,60
Артишок,1.2,0.1,6.0,28
Ассорти Бондюэль из сладкого перца,1.1,0.2,4.8,25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,3.8,1.1,9.3,62
"Ассорти Бондюэль из цветной капусты, романеско и брокколи",1.8,2.7,8.6,66
Ассорти МеленЪ Кабачки Черри Огурцы маринованные,0.0,0.0,4.0,15
Ассорти МеленЪ Патиссоны Черри Огурцы маринованные,0.0,0.0,4.0,15
Баклажан,1.2,0.1,4.5,24
Баклажан белый,1.2,0.1,4.6,24
Баклажан замороженный,1.3,0.1,5.2,27
Баклажан консервированный,0.9,0.7,7.3,49
Баклажанная икра консервированная,1.7,13.3,5.1,148
Баклажанная икра свежая,0.6,7.0,6.0,90
Баклажаны 4 сезона запечённые порционные,2.1,0.2,8.9,48
Баклажаны 4 сезона нарезанные,1.3,0.1,5.2,27
Бамбук листья,2.0,0.0,4.0,32
Бамбук побеги вареные,1.5,0.2,0.9,12
Бамбук побеги консервированные,1.7,0.4,1.8,19
Бамбук побеги сырые,2.6,0.3,3.0,27
Бамия,2.0,0.1,3.8,25
Бамия 4 сезона,0.2,0.1,8.0,23
Бедренец камнеломка,0.0,0.0,0.0,
Бессмертник,0.2,0.0,5.0,27
Бобы,6.0,0.1,8.5,57
Бобы зелёные,6.0,0.1,10.5,60
Брюква,1.2,0.1,7.7,37
Брюква запечённая,2.1,1.6,7.5,51
Брюква тушеная,1.2,8.5,8.6,114
Вигна,3.0,0.4,18.8,90
Горох варёный,6.0,0.0,9.0,60
Горох лущеный,23.0,1.6,57.7,323
Горох маш,23.5,2.0,46.0,300
Горох маш (ростки),3.1,0.2,6.0,30
Горох сушёный,20.5,2.0,53.3,298
Горошек зелёный,5.0,0.2,13.8,73
Горошек зелёный 4 сезона,5.1,0.2,13.1,75
Горошек зелёный 6 соток,3.1,0.0,6.5,38
Горошек зелёный Globus,5.5,0.7,7.4,74
Горошек зелёный Hortex,6.4,0.4,10.5,83
Горошек зелёный Бондюэль замороженный,6.9,0.4,19.4,85
Горошек зелёный Бондюэль Нежный,4.8,0.2,7.5,52
Горошек зелёный Бондюэль с молодой морковью,3.3,0.5,9.3,54
Горошек зелёный Бондюэль с морковью в кубиках,3.0,0.2,10.0,53
Горошек зелёный замороженный,6.4,0.4,16.3,72
Горошек зелёный Каждый день замороженный,5.0,0.2,8.5,55
Горошек зелёный консервированный,3.6,0.1,9.8,55
Горошек зелёный стручковый,5.0,0.2,8.3,55
Гулявник лекарственный,0.3,0.0,5.0,21
Дайкон,1.2,0.0,4.1,21
Девясил,2.9,0.0,0.2,15
Драники картофельные Зимняя радуга Белорусские замороженные,1.9,0.4,16.9,79
Закусочка Дядя Ваня Венгерская,5.0,5.5,3.0,82
Зелень,2.6,0.4,5.2,36
Зразы картофельные от Ильиной с грибами,2.0,1.0,13.0,70
Зразы картофельные от Ильиной с капустой,3.3,3.9,15.0,108
Кабачки 4 сезона нарезанные,0.6,0.3,5.3,26
Кабачковая икра,1.2,7.0,7.4,97
Кабачок,0.6,0.3,4.6,24
Кабачок жареный,1.1,6.0,6.7,88
Кабачок замороженный,0.6,0.3,4.7,21
Кабачок консервированный,0.4,0.1,4.9,22
Кабачок сушеный,8.5,4.3,65.2,340
Каперсы,0.8,0.1,2.6,14
Каперсы консервированные,2.4,0.9,1.7,24
Каперсы маринованные,2.4,0.9,1.7,24
Капуста белокочанная,1.8,0.1,4.7,27
Капуста белокочанная жареная,1.8,2.8,4.2,49
Капуста белокочанная сушеная,15.0,1.4,48.0,278
Капуста брокколи,3.0,0.4,5.2,28
Капуста брокколи 4 сезона,2.5,0.3,4.6,31
Капуста брокколи Hortex,2.7,0.4,2.4,29
Капуста брокколи Бондюэль замороженная,2.7,0.1,4.9,23
Капуста брокколи варёная,3.0,0.4,4.0,27
Капуста брокколи замороженная,2.7,0.4,4.7,24
Капуста брюссельская,4.8,0.0,8.0,43
Капуста брюссельская 4 сезона,4.8,0.3,3.1,36
Капуста брюссельская Hortex,4.5,0.5,3.2,46
Капуста брюссельская Бондюэль замороженная,4.0,0.5,8.0,31
Капуста брюссельская замороженная,4.5,0.5,8.4,36
